Agent_Breed,Policy_ID,Age,Social_Grade,Payment_at_Purchase,Attribute_Brand,Attribute_Price,Attribute_Promotions,Auto_Renew,Inertia_for_Switch
Breed_C,132802001.0,66,3,250,25.3,16.6,5.1,0,4
Breed_C,132802002.0,66,3,250,25.3,16.6,5.1,0,9
Breed_C,132802003.0,66,3,250,25.3,16.6,5.1,0,9
Breed_C,132802004.0,66,3,250,25.3,16.6,5.1,0,1
Breed_C,132802005.0,66,3,250,25.3,16.6,5.1,0,5
Breed_C,132802006.0,66,3,250,25.3,16.6,5.1,0,7
Breed_C,132802007.0,66,3,250,25.3,16.6,5.1,0,9
Breed_C,132802008.0,66,3,250,25.3,16.6,5.1,0,7
Breed_C,132802009.0,66,3,250,25.3,16.6,5.1,0,1
Breed_C,132802010.0,66,3,250,25.3,16.6,5.1,0,0
Breed_C,132802011.0,66,3,250,25.3,16.6,5.1,0,0
Breed_C,132802012.0,66,3,250,25.3,16.6,5.1,0,5
Breed_C,132802013.0,66,3,250,25.3,16.6,5.1,0,6
Breed_C,132802014.0,66,3,250,25.3,16.6,5.1,0,5
Breed_C,132802015.0,66,3,250,25.3,16.6,5.1,0,9
Breed_C,132802016.0,66,3,250,25.3,16.6,5.1,0,6
Breed_C,132802017.0,66,3,250,25.3,16.6,5.1,0,2
Breed_C,132802018.0,66,3,250,25.3,16.6,5.1,0,5
Breed_C,24910601001.0,68,3,375,26.2,21.1,6.7,0,1
Breed_C,24910601002.0,68,3,375,26.2,21.1,6.7,0,4
Breed_C,24910601003.0,68,3,375,26.2,21.1,6.7,0,9
Breed_C,24910601004.0,68,3,375,26.2,21.1,6.7,0,3
Breed_C,24910601005.0,68,3,375,26.2,21.1,6.7,0,8
Breed_C,24910601006.0,68,3,375,26.2,21.1,6.7,0,8
Breed_C,24910601007.0,68,3,375,26.2,21.1,6.7,0,8
Breed_C,24910601008.0,68,3,375,26.2,21.1,6.7,0,5
Breed_C,24910601009.0,68,3,375,26.2,21.1,6.7,0,5
Breed_C,24910601010.0,68,3,375,26.2,21.1,6.7,0,8
Breed_C,24910601011.0,68,3,375,26.2,21.1,6.7,0,8
Breed_C,24910601012.0,68,3,375,26.2,21.1,6.7,0,8
Breed_C,24910601013.0,68,3,375,26.2,21.1,6.7,0,8
Breed_C,24910601014.0,68,3,375,26.2,21.1,6.7,0,5
Breed_C,24910601015.0,68,3,375,26.2,21.1,6.7,0,4
Breed_C,24910601016.0,68,3,375,26.2,21.1,6.7,0,5
Breed_C,24910601017.0,68,3,375,26.2,21.1,6.7,0,7
Breed_C,24910601018.0,68,3,375,26.2,21.1,6.7,0,1
Breed_C,101472001.0,56,4,250,22.7,14.1,3.9,0,8
Breed_C,101472002.0,56,4,250,22.7,14.1,3.9,0,1
Breed_C,101472003.0,56,4,250,22.7,14.1,3.9,0,5
Breed_C,101472004.0,56,4,250,22.7,14.1,3.9,0,6
Breed_C,101472005.0,56,4,250,22.7,14.1,3.9,0,5
Breed_C,101472006.0,56,4,250,22.7,14.1,3.9,0,9
Breed_C,101472007.0,56,4,250,22.7,14.1,3.9,0,4
Breed_C,101472008.0,56,4,250,22.7,14.1,3.9,0,6
Breed_C,101472009.0,56,4,250,22.7,14.1,3.9,0,6
Breed_C,101472010.0,56,4,250,22.7,14.1,3.9,0,2
Breed_C,101472011.0,56,4,250,22.7,14.1,3.9,0,7
Breed_C,101472012.0,56,4,250,22.7,14.1,3.9,0,8
Breed_C,101472013.0,56,4,250,22.7,14.1,3.9,0,2
Breed_C,101472014.0,56,4,250,22.7,14.1,3.9,0,8
Breed_C,101472015.0,56,4,250,22.7,14.1,3.9,0,9
Breed_C,101472016.0,56,4,250,22.7,14.1,3.9,0,2
Breed_C,101472017.0,56,4,250,22.7,14.1,3.9,0,5
Breed_C,101472018.0,56,4,250,22.7,14.1,3.9,0,2
Breed_C,135916001.0,69,4,250,11.9,43.8,4.6,0,4
Breed_C,135916002.0,69,4,250,11.9,43.8,4.6,0,1
Breed_C,135916003.0,69,4,250,11.9,43.8,4.6,0,7
Breed_C,135916004.0,69,4,250,11.9,43.8,4.6,0,7
Breed_C,135916005.0,69,4,250,11.9,43.8,4.6,0,3
Breed_C,135916006.0,69,4,250,11.9,43.8,4.6,0,4
Breed_C,135916007.0,69,4,250,11.9,43.8,4.6,0,6
Breed_C,135916008.0,69,4,250,11.9,43.8,4.6,0,7
Breed_C,135916009.0,69,4,250,11.9,43.8,4.6,0,7
Breed_C,135916010.0,69,4,250,11.9,43.8,4.6,0,0
Breed_C,135916011.0,69,4,250,11.9,43.8,4.6,0,3
Breed_C,135916012.0,69,4,250,11.9,43.8,4.6,0,9
Breed_C,135916013.0,69,4,250,11.9,43.8,4.6,0,6
Breed_C,135916014.0,69,4,250,11.9,43.8,4.6,0,4
Breed_C,135916015.0,69,4,250,11.9,43.8,4.6,0,5
Breed_C,135916016.0,69,4,250,11.9,43.8,4.6,0,9
Breed_C,135916017.0,69,4,250,11.9,43.8,4.6,0,7
Breed_C,135916018.0,69,4,250,11.9,43.8,4.6,0,2
Breed_C,132370001.0,75,2,250,14.7,15.5,2.9,1,4
Breed_C,132370002.0,75,2,250,14.7,15.5,2.9,1,3
Breed_C,132370003.0,75,2,250,14.7,15.5,2.9,1,8
Breed_C,132370004.0,75,2,250,14.7,15.5,2.9,1,0
Breed_C,132370005.0,75,2,250,14.7,15.5,2.9,1,2
Breed_C,132370006.0,75,2,250,14.7,15.5,2.9,1,9
Breed_C,132370007.0,75,2,250,14.7,15.5,2.9,1,8
Breed_C,132370008.0,75,2,250,14.7,15.5,2.9,1,4
Breed_C,132370009.0,75,2,250,14.7,15.5,2.9,1,8
Breed_C,132370010.0,75,2,250,14.7,15.5,2.9,1,1
Breed_C,132370011.0,75,2,250,14.7,15.5,2.9,1,2
Breed_C,132370012.0,75,2,250,14.7,15.5,2.9,1,8
Breed_C,132370013.0,75,2,250,14.7,15.5,2.9,1,3
Breed_C,132370014.0,75,2,250,14.7,15.5,2.9,1,5
Breed_C,132370015.0,75,2,250,14.7,15.5,2.9,1,9
Breed_C,132370016.0,75,2,250,14.7,15.5,2.9,1,9
Breed_C,132370017.0,75,2,250,14.7,15.5,2.9,1,2
Breed_C,132370018.0,75,2,250,14.7,15.5,2.9,1,3
Breed_C,26061188001.0,69,2,150,5.3,74.8,1.8,0,3
Breed_C,26061188002.0,69,2,150,5.3,74.8,1.8,0,7
Breed_C,26061188003.0,69,2,150,5.3,74.8,1.8,0,7
Breed_C,26061188004.0,69,2,150,5.3,74.8,1.8,0,6
Breed_C,26061188005.0,69,2,150,5.3,74.8,1.8,0,5
Breed_C,26061188006.0,69,2,150,5.3,74.8,1.8,0,7
Breed_C,26061188007.0,69,2,150,5.3,74.8,1.8,0,8
Breed_C,26061188008.0,69,2,150,5.3,74.8,1.8,0,2
Breed_C,26061188009.0,69,2,150,5.3,74.8,1.8,0,3
Breed_C,26061188010.0,69,2,150,5.3,74.8,1.8,0,2
Breed_C,26061188011.0,69,2,150,5.3,74.8,1.8,0,2
Breed_C,26061188012.0,69,2,150,5.3,74.8,1.8,0,9
Breed_C,26061188013.0,69,2,150,5.3,74.8,1.8,0,9
Breed_C,26061188014.0,69,2,150,5.3,74.8,1.8,0,3
Breed_C,26061188015.0,69,2,150,5.3,74.8,1.8,0,6
Breed_C,26061188016.0,69,2,150,5.3,74.8,1.8,0,9
Breed_C,26061188017.0,69,2,150,5.3,74.8,1.8,0,4
Breed_C,26061188018.0,69,2,150,5.3,74.8,1.8,0,5
Breed_C,131004001.0,55,2,250,18.9,10.4,1.9,0,7
Breed_C,131004002.0,55,2,250,18.9,10.4,1.9,0,5
Breed_C,131004003.0,55,2,250,18.9,10.4,1.9,0,7
Breed_C,131004004.0,55,2,250,18.9,10.4,1.9,0,9
Breed_C,131004005.0,55,2,250,18.9,10.4,1.9,0,6
Breed_C,131004006.0,55,2,250,18.9,10.4,1.9,0,7
Breed_C,131004007.0,55,2,250,18.9,10.4,1.9,0,6
Breed_C,131004008.0,55,2,250,18.9,10.4,1.9,0,8
Breed_C,131004009.0,55,2,250,18.9,10.4,1.9,0,7
